PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R, +/-
George Pickens,DAL,WR,5.3,2.4,11.2,62.34,9,11,81.82,168,1,9.5,3.1,6.3
Jaxon Smith-Njigba,SEA,WR,7.5,3.2,13.6,55.46,8,13,61.54,162,1,5.1,4.2,0.9
Drake London,ATL,WR,5.5,3,10.9,74.35,10,16,62.5,158,1,6.5,3.7,2.8
Kendrick Bourne,SF,WR,7.6,2.4,13.5,40.72,5,9,55.56,142,0,13.2,6.6,6.5
Dallas Goedert,PHI,TE,6.6,3.8,9.7,36.39,9,11,81.82,110,1,2.4,1.9,0.5
Ladd McConkey,LAC,WR,5.6,3.3,7.1,28.57,7,9,77.78,100,1,6.6,3.6,3
Chris Olave,NO,WR,4.2,2.9,12.1,57.29,6,10,60,98,0,5.1,4.6,0.5
Jaylen Waddle,MIA,WR,7.4,2.6,13.1,56.17,6,8,75,95,0,3.2,3.2,0
DK Metcalf,PIT,WR,4.2,1.5,16.6,68.83,4,9,44.44,95,1,9,2.6,6.3
Ja'Marr Chase,CIN,WR,5.5,2.8,9,44.95,10,12,83.33,94,1,1.6,1.6,0
Kayshon Boutte,NE,WR,3.5,3,16.8,31.22,5,5,100,93,2,2.6,2.9,-0.2
Brian Thomas Jr.,JAX,WR,5.4,3.7,9.8,32.93,8,10,80,90,1,3.3,2.9,0.4
Matthew Golden,GB,WR,4.4,1.6,16.6,37.1,3,5,60,86,0,7.5,4.1,3.5
Wan'Dale Robinson,NYG,WR,6.6,3.4,6.2,18,6,7,85.71,84,1,8.4,6.2,2.2
Harold Fannin Jr.,CLE,TE,5,3.1,6.3,21.43,7,10,70,81,0,6.9,5,1.9
A.J. Brown,PHI,WR,7.2,2.2,11.6,35.44,6,9,66.67,80,0,2,1.3,0.7
Zay Jones,AZ,WR,5.4,3.2,13.3,31.45,5,8,62.5,79,0,4,5.6,-1.6
Travis Kelce,KC,TE,5.2,4,6.8,35.74,6,7,85.71,78,0,6,4.2,1.8
Van Jefferson,TEN,WR,4.7,3.8,20.2,43.14,4,6,66.67,75,0,1.6,1.2,0.4
Trey McBride,AZ,TE,5.6,3.3,9.1,29.53,8,11,72.73,72,1,2.9,3.1,-0.2
Tre Tucker,LV,WR,8.6,4.6,2.8,22.16,5,5,100,70,0,11.2,4.1,7.1
Oronde Gadsden II,LAC,TE,4.5,3.3,5.6,20.01,7,8,87.5,68,0,5.6,4.4,1.1
Jameson Williams,DET,WR,7.4,5.7,4.6,30.21,6,7,85.71,66,1,7.6,8.4,-0.8
Tyler Warren,IND,TE,6.2,4,5.9,25.38,6,9,66.67,63,1,7.1,7.1,0
Tee Higgins,CIN,WR,5.3,2.5,12.8,42.5,5,8,62.5,62,0,4.3,3.6,0.7
Darnell Washington,PIT,TE,4.6,3.5,6.5,14.92,3,5,60,62,0,14.2,10,4.2
Jake Tonges,SF,TE,4.5,4.1,4.4,10.27,6,7,85.71,58,0,6.5,6.6,-0.2
Sam LaPorta,DET,TE,10.4,3.3,7.2,40.64,5,6,83.33,55,1,5.9,3.9,2
Lil'Jordan Humphrey,NYG,WR,5.6,1.5,15.6,52.31,4,8,50,55,0,2.3,1.4,0.9
Romeo Doubs,GB,WR,4.8,2.5,9.7,38.92,5,9,55.56,55,0,2.6,1.6,1
Cade Otton,TB,TE,10.2,4.8,3.7,10.34,5,6,83.33,51,0,6.7,7.2,-0.4
Michael Mayer,LV,TE,4.8,3.5,2.1,22.93,5,7,71.43,50,1,8.3,7.5,0.8
DeVonta Smith,PHI,WR,7.1,4.9,10.6,18.07,4,5,80,49,0,7.8,6.8,1.1
Zay Flowers,BAL,WR,7.8,2.3,8.2,44.31,6,10,60,46,0,4.1,2,2.1
Chig Okonkwo,TEN,TE,7.1,4.9,1.1,2.36,6,6,100,46,0,6.6,4.4,2.1
Chris Moore,WAS,WR,6,1.6,12.5,33.37,3,5,60,46,1,-0.6,0.8,-1.4
Amon-Ra St. Brown,DET,WR,5.4,3.3,3.7,35,9,10,90,45,0,1.7,3.5,-1.8
Michael Wilson,AZ,WR,4.2,1.7,8.9,13.11,4,5,80,44,0,3.4,4.2,-0.8
Jerry Jeudy,CLE,WR,7.8,2.3,9.3,40.99,5,13,38.46,43,0,3.3,2.5,0.8
Zach Ertz,WAS,TE,6.5,2.2,6.4,20.51,6,6,100,43,1,2,2.4,-0.5
Josh Downs,IND,WR,10.5,2.7,5.7,19.11,6,7,85.71,42,1,1.9,1.6,0.4
Evan Engram,DEN,TE,5.4,1.4,5.5,22.97,5,6,83.33,42,0,3,2.8,0.2
DJ Moore,CHI,WR,3.2,2.5,9.5,19.88,3,5,60,42,0,8.3,7.4,0.9
Davante Adams,LAR,WR,6,2.8,11.8,47.15,4,9,44.44,39,0,1.2,3.1,-1.9
Khalil Shakir,BUF,WR,10,2.2,9.8,16.13,3,5,60,33,0,5.9,4.7,1.2
Rome Odunze,CHI,WR,4.6,3.2,20.6,42.92,2,5,40,32,0,11.3,9.8,1.5
Ryan Flournoy,DAL,WR,7.5,3.2,4.2,12.69,3,6,50,30,0,6.9,5.5,1.4
Tetairoa McMillan,CAR,WR,7,2.5,12.4,42.09,3,5,60,29,2,-0.5,0.1,-0.5
Rashid Shaheed,NO,WR,7.9,2.6,8.4,23.73,4,6,66.67,28,0,2.5,4,-1.5
David Njoku,CLE,TE,5.5,2,7.1,14.43,3,6,50,28,0,3.6,3.7,-0.1
Tyrell Shavers,BUF,WR,8.5,2.9,13.1,21.56,3,5,60,27,0,0.7,2.1,-1.4
Elic Ayomanor,TEN,WR,5.9,2.1,13.8,24.56,3,5,60,27,0,2.8,2.1,0.6
Tre Harris,LAC,WR,4.7,2.8,6.3,13.9,4,5,80,27,0,5.2,3.9,1.3
Keenan Allen,LAC,WR,4.5,1.9,10.3,31.95,4,7,57.14,27,0,1.6,1.8,-0.2
Olamide Zaccheaus,CHI,WR,5.4,2.8,7.3,18.28,2,6,33.33,24,0,5.6,5.7,-0.1
Mark Andrews,BAL,TE,3.9,2,4.8,15.79,4,6,66.67,24,0,0.7,1.8,-1.1
Malik Washington,MIA,WR,6.1,3.6,1.3,3.56,4,5,80,22,0,5,2.2,2.8
Jalin Hyatt,NYG,WR,8.3,1.7,7.4,15.44,3,5,60,17,0,0.8,1.1,-0.3
Deebo Samuel Sr.,WAS,WR,7.1,3.3,4.8,12.87,4,5,80,15,0,2.4,2.3,0.2
Travis Hunter,JAX,WR,6,3.6,4,9.31,4,7,57.14,15,0,5.1,3.1,2
Garrett Wilson,NYJ,WR,7,2.2,4.5,42.02,3,8,37.5,13,0,1.1,2.3,-1.2
Dyami Brown,JAX,WR,6.8,2.4,16.2,27.21,2,5,40,13,0,-0.1,0.2,-0.3
Keon Coleman,BUF,WR,6,2.1,10.5,20.67,3,6,50,11,0,-0.2,1.6,-1.8
Tanner Hudson,CIN,TE,6.5,5.6,3.5,7.28,4,5,80,10,1,1.5,2,-0.5
Isaiah Bond,CLE,WR,5.7,3.2,6.8,11.55,2,5,40,9,0,1.3,6.4,-5.2